Datetime;GoldPrice USD
2018-05-16;1288.53
2018-05-15;1290.37
2018-05-14;1313.31
2018-05-11;1318.09
2018-05-10;1321.38
2018-05-09;1312.44
2018-05-08;1314.24
2018-05-07;1313.96
2018-05-04;1315.04
2018-05-03;1311.93
2018-05-02;1304.82
2018-05-01;1303.67
2018-04-30;1315.13
2018-04-27;1323.11
2018-04-26;1316.68
2018-04-25;1322.91
2018-04-24;1330.15
2018-04-23;1324.69
2018-04-20;1335.59
2018-04-19;1345.34
2018-04-18;1349.31
2018-04-17;1347.25
2018-04-16;1345.6
2018-04-13;1345.22
2018-04-12;1334.68
2018-04-11;1353.16
2018-04-10;1339.29
2018-04-09;1336.08
2018-04-06;1333.43
2018-04-05;1326.38
2018-04-04;1333.01
2018-04-03;1332.62
2018-04-02;1341.09
2018-03-30;1325.03
2018-03-29;1325.24
2018-03-28;1324.87
2018-03-27;1344.81
2018-03-26;1353.15
2018-03-23;1347.03
2018-03-22;1328.85
2018-03-21;1332.16
2018-03-20;1311.13
2018-03-19;1316.67
2018-03-16;1313.92
2018-03-15;1316.11
2018-03-14;1324.6
2018-03-13;1326.18
2018-03-12;1322.82
2018-03-09;1323.14
2018-03-08;1321.83
2018-03-07;1325.34
2018-03-06;1334.41
2018-03-05;1319.9
2018-03-02;1322.57
2018-03-01;1316.75
2018-02-28;1317.99
2018-02-27;1318.08
2018-02-26;1333.18
2018-02-23;1328.71
2018-02-22;1331.86
2018-02-21;1324.44
2018-02-20;1329.01
2018-02-19;1345.8
2018-02-16;1346.98
2018-02-15;1353.28
2018-02-14;1350.44
2018-02-13;1329.33
2018-02-12;1322.49
2018-02-09;1315.97
2018-02-08;1318.49
2018-02-07;1318.25
2018-02-06;1323.98
2018-02-05;1339.31
2018-02-02;1332.73
2018-02-01;1348.39
2018-01-31;1344.76
2018-01-30;1338.39
2018-01-29;1340.1
2018-01-26;1349.47
2018-01-25;1347.83
2018-01-24;1358.29
2018-01-23;1341.09
2018-01-22;1333.74
2018-01-19;1331.67
2018-01-18;1326.84
2018-01-17;1326.77
2018-01-16;1338.28
2018-01-15;1339.3
2018-01-12;1337.73
2018-01-11;1322.21
2018-01-10;1316.73
2018-01-09;1312.57
2018-01-08;1320.3
2018-01-05;1319.25
2018-01-04;1322.37
2018-01-03;1312.92
2018-01-02;1317.31
2018-05-16;1288.53
2018-05-15;1290.37
2018-05-14;1313.31
2018-05-11;1318.09
2018-05-10;1321.38
2018-05-09;1312.44
2018-05-08;1314.24
2018-05-07;1313.96
2018-05-04;1315.04
2018-05-03;1311.93
2018-05-02;1304.82
2018-05-01;1303.67
2018-04-30;1315.13
2018-04-27;1323.11
2018-04-26;1316.68
